Tweet	lang
aisay to lahore wal ne jab pmln ko kia dubara choose to unhn to khota bulaya jaa raha tha	Roman Urdu
cmshehbaz tum jeeto ya haro humain tum sy pyar hai pmln	Roman Urdu
iihtishamm bhai listen ptv mein b tabdeeli aa gai hai	Mixed
jb bhi kabhi naey pakistan ka zikr hoga to jahangeer tareen ka nam zaroor aega jahangirtareen	Roman Urdu
nadeemmalik nadeen malik sahb agar pti wala punjab ma hakommat banata ha to woh galat kar raha ha kua ka punjab ma right pmln ka hain	Mixed
umarcheema1 wo ik ne khud banaya hai apne paisun se tumhri behn se nahn liye paise bc	Roman Urdu
aik maryam adiala or aik ider haye is ko bhi saath le jaty lekin koi baat nahi sary pmln log insha allah udhar hi jayenge	Roman Urdu
na 17 haripur pti s umer ayub 1 64 242 votes pmln m nawaz 1 49 900 votes	Mixed
suno mqm walon suno kitni achi batt ki thi ik nai mqm muhajir qaom k liye phir bhi tasubi bolo kiya banta hai	Roman Urdu
if pmln doesn t make govt in punjab to inka sara kam jski output ab ana shoro hui ha like hospital etc to uska sara credit pti le jaye gi in next election	Mixed
diya jalaye rakhna hai lol	Mixed
pti ki jeet pr jamaima ki imran khan ko mubarek baad maqbool	Roman Urdu
pti jahangir taren k private jet me azad umidwar la rahe hay jab k pml n waalo ne careem service se rabta kar liya nayapakistan	Roman Urdu
mqm walay boht naraz haii unky sath b dhandli hoe ha hayee ray qismatt dhandlay walo k sath b dhandli ho gaeeeeee	Roman Urdu
imran khan ko ye speech bhi pak army ne likh kr di hai pmln	Mixed
qlmalik1 musmanmalik liaqyat ohtripe tum jesay badtehzeeb badtameez jahil ik qeemay walay naan ki qeemat hotay h	Roman Urdu
yes me ne suna totaly ik k against bol ri rona dhona band kr do madwm ab kuj nai ho skta	Mixed
tau pmln harami gernalon ki dhandli ka randi rona band karey agar opposition me hi bhethna hai tau	Mixed
basically to pti ko central punjab ke results reject kar denay chahyein	Mixed
kia ye waqi sach hy	Roman Urdu
bannu pti ki jeet ka ghusa masom janwar per nikal dya gya dog kutay ko pti ka jhanda pehna kar golya mari gyi vidio manzare am per agyi	Roman Urdu
bhegi hoe ik sham ki dehleez pa baithy hum dil k sulaghny ka sabab dhond rahy hen	Roman Urdu
imran khan once said allah ne insan k hath main sirf niyat aur koshish di hai kamyabi wo deta hai ia now i ll do the same in life imrankhan myleader myinspirations	Mixed
allah pak ap ko or achaa kam krna ki tofeeq daee	Roman Urdu
amirbutt14 pakikuripti ibasitt maleehamanzoor na 5 abhi tak pti wala jeeta hai	Roman Urdu
matiullah jan saheb well done buhat deep ja kar aap ney yeh noqta pkrrah hai excellent sir ji	Mixed
sab khushi kay bajay baja rahay hain but i m just sad dr yasmin rashid lost how could you lahore 3 times such shame	Mixed
khsaad rafique aap nay tv pay kaha tha ik ka jitna ikhtiar utni baat karay to us nay aap ki baat man li aur kia chahiay sir	Roman Urdu
waseembadami pti ky lye num game msla bn gya h es lye mqm ko lena pre ga	Mixed
mqm ahtejaj ki call degi hakomat main nahi jaegi wazarat nahi legi aai tabdeeli aai tabdeeli	Roman Urdu
asif zardari sb ke siyasat ko manana pery ga q keh woh sindh main ppp ke government ko bachany main kaamyab raha	Mixed
pakistan bhi saaf horaha hai tum bhi nahalo ik baar sirf eid per he tou nahi nahana hota	Roman Urdu
goray ko bhi laga diya pti pakistan k peechay	Roman Urdu
petition to make dr yasmeen rashid as cm punjab aleem khan will be disaster nayapakistan	English
wo pochna tha pti punjab me q nhi jeet saki	Roman Urdu
